"Value","avg_temp","average_rain_fall_mm_per_year","Value"
"121","25.58","327","14000"
"121","25.52","327","14000"
"121","25.67","327","14260"
"376.93","26.28","327","17064"
"439.89","25.17","327","17177"
"502.86","25.49","327","14757"
"565.82","25.92","327","13400"
"628.79","25.46","327","15652"
"691.75","25.67","327","16170"
"754.71","25.17","327","16170"
"1365.34","25.62","327","16652"
"1300.84","25.68","327","16875"
"1419.44","25.25","327","17020"
"1828.92","25.14","327","17034"
"2461.8","25.85","327","16963"
"1215.47","25.87","327","17582"
"1021.89","25.38","327","16800"
"1255.02","25.96","1485","15000"
"2697.09","26.07","1485","16786"
"479.77","25.69","1485","16667"
"401.22","26.13","1485","16563"
"322.84","26.37","1485","16364"
"654.45","26.07","1485","15000"
"603.67","25.47","1485","16500"
"710.11","24.91","1485","15000"
"816.55","24.95","1485","11979"
"922.99","25.12","1485","20000"
"3747.86","24.86","1485","29800"
"3662.87","25.11","1485","8400"
"4110.72","25.17","1485","16000"
"5390.79","25.33","1485","12069"
"11556.12","25.04","1485","26204"
"3867.99","25.37","1485","26277"
"1295.88","25.33","1485","26277"
"13861.76","25.64","1485","21429"
"17379.76","25.47","1485","16448"
"17278.65","26.46","1485","16400"
"14258.22","26.12","1485","21986"
"14258.22","25.92","1485","21972"
"14258.22","25.59","1485","24882"
"64","25.48","1485","21457"
"79","25.24","1485","20517"
"23","25.78","1485","86667"
"169","26.08","1485","76667"
"25.5","25.69","1485","81333"
"336","25.8","1485","86000"
"40","25.57","1485","88000"
"40","25.7","1485","90667"
"40","25.41","89","98000"
"40","26.42","89","100000"
"40","26.33","89","101987"
"40","26.28","89","95364"
"40","26.29","89","111333"
"40","26.13","89","103947"
"40","26.47","89","110000"
"40","25.93","89","109639"
"40","26.19","89","114412"
"40","26.32","89","178788"
"40","26.42","89","105263"
"40","26.23","89","137363"
"40","25.96","89","143575"
"40","26.09","89","148603"
"40","26.09","89","154237"
"40","26.79","89","155114"
"40","26.23","89","157647"
"40","26.16","89","144444"
"40","26.5","89","140909"
"7.52","26.39","89","158667"
"7.52","26.44","89","155000"
"7.52","25.81","89","155714"
"7.52","26.55","89","152632"
"7.52","26.38","89","168421"
"7.52","26.15","89","166418"
"7.52","25.88","89","166667"
"7.52","26.54","89","166912"
"7.52","26.53","89","165942"
"7.52","25.84","89","166187"
"7.52","26.61","89","166429"
"7.52","26.77","89","167857"
"65872.12","26.8","1010","20000"
"81582.64","26.21","1010","20000"
"87149.01","26.12","1010","20714"
"61586.56","25.84","1010","21333"
"105915.04","26.4","1010","19048"
"100424.62","26.16","1010","20381"
"136185.08","26.67","1010","21311"
"171945.54","26.47","1010","21728"
"207706","26.43","1010","22414"
"207706","26.17","1010","21994"
"207706","26.66","1010","22581"
"8","26.64","1010","22416"
"8","26.3","1010","22482"
"23","26.35","1010","22400"
"23.9","27.26","1010","20000"
"32","26.78","1010","19056"
"41.46","26.65","1010","18824"
"50.92","26.6","1010","19029"
"60.38","26.52","1010","19364"
"69.85","26.36","1010","17143"
"79.31","26.56","1010","17143"
"88.77","26.57","1010","19000"
"98.23","26.87","1010","22941"
"204.77","26.58","1010","19429"
"220.51","26.54","1010","22222"
"227.55","27.16","1010","25000"
"241.71","26.7","1010","20000"
"218.2","26.75","1010","20000"
"198.36","26.69","1010","20000"
"278.72","26.84","1010","28741"
"278.72","27.05","1010","29931"
"278.72","26.99","1010","23744"
"278.72","26.98","1010","30313"
"278.72","26.99","1010","33750"
"278.72","27.01","1010","32471"
"278.72","26.94","1010","32211"
"17866","26.98","1010","32250"
"17866","27.45","1010","32308"
"22234","27.02","1010","32000"
"23899","26.77","1010","24390"
"21057","27.23","1010","24980"
"25598","26.04","1010","24409"
"31185","26.26","1010","25000"
"33475","25.83","1010","8317"
"32710","26.01","1010","9510"
"26651","25.69","1010","9723"
"32418","26.25","1010","8666"
"45177.18","25.1","1010","12494"
"49857.36","25.34","1010","11309"
"50921.6","23.62","1010","11980"
"50921.6","26","1030","12317"
"4246","26.26","1030","12549"
"4487","26.09","1030","12350"
"3897","26.44","1030","12299"
"3984","26.33","1030","12580"
"3619","26.51","1030","12319"
"3402","26.24","1030","12277"
"3565","26.17","1030","11890"
"3689.6","26.16","1030","12849"
"3340.3","26.42","1030","11728"
"3418.6","26.3","1030","11180"
"3563.2","26.13","1030","10510"
"3132.2","26.19","1030","10213"
"3079.2","26.59","1030","10313"
"3384.9","26.59","1030","10211"
"3301.7","26.09","1030","10250"
"3404","26.2","1030","10890"
"3415.7","26.75","1030","11220"
"3526.6","26.05","1030","12764"
"4246.7","26.3","1030","12964"
"3531.8","26.15","1030","12329"
"3692.4","26.1","1030","7240"
"3441.5","26.38","1030","8977"
"3563.3","26.08","1030","15419"
"3108.6","26.3","1030","15000"
"3380.7","26.61","1030","12659"
"3787.1","26.2","1030","18215"
"3662.1","26.43","1030","13760"
"148.68","26.55","1030","18183"
"148.68","26.36","1030","12263"
"148.68","26.24","1030","19666"
"148.68","25.98","591","19252"
"148.68","26.36","591","15179"
"148.68","26.29","591","20104"
"148.68","25.92","591","20248"
"148.68","26.57","591","20237"
"148.68","26.43","591","21959"
"148.68","26.53","591","19803"
"148.68","26.81","591","9541"
"148.68","25.88","591","9079"
"148.68","26.49","591","11924"
"148.68","26.3","591","11634"
"148.68","26.24","591","10509"
"148.68","26.17","591","15051"
"262.99","26.34","591","17241"
"316.18","26.57","591","18782"
"333.85","25.89","591","19485"
"461.84","25.62","591","20718"
"516.35","26.35","591","19443"
"489.8","26.45","591","19667"
"531.84","26.56","591","20000"
"529.69","26.9","591","21981"
"542.82","25.9","591","27000"
"484.59","26.04","591","31111"
"484.59","26.03","591","37647"
"484.59","26.24","591","39535"
"484.59","26.2","591","37500"
"484.59","26.06","591","26504"
"484.59","26.77","591","31585"
"484.59","26.32","591","37252"
"484.59","27.03","591","42263"
"484.59","26.26","562","37209"
"484.59","26.65","562","35128"
"484.59","26.35","562","45065"
"375.89","26.34","562","38148"
"384.23","26.6","562","32871"
"319.11","26.38","562","47969"
"269.66","26.54","562","36613"
"315.74","26.23","562","29068"
"268.2","26.06","562","24876"
"268.2","26.17","562","24185"
"268.2","26.44","562","25848"
"268.2","26.24","562","31300"
"268.2","26.22","562","32604"
"268.2","26.29","562","31862"
"268.2","26.13","562","33416"
"268.2","26.49","562","37455"
"268.2","26.88","562","38811"
"268.2","26.87","562","38135"
"268.2","26.42","562","39460"
"14.05","26.89","562","42805"
"14.05","26.45","562","46197"
"14.05","26.6","562","45442"
"14.05","26.85","562","50111"
"30.86","26.69","562","46732"
"12.46","26.29","562","50000"
"12.16","25.97","562","55693"
"9.42","26.69","562","66790"
"11.15","26.68","562","59869"
"12.5","26.89","562","67290"
"8.65","26.89","562","69533"
"9.2","26.62","562","69091"
"0.91","26.56","562","69597"
"10962.31","26.95","534","77818"
"12936.5","26.38","534","82920"
"13790.09","27.11","534","98446"
"13283.72","26.46","534","81404"
"14798.28","26.1","534","111323"
"13289.18","27.02","534","106138"
"15330.16","27.25","534","109874"
"15857.26","26.75","534","127212"
"13364.42","27.2","534","142018"
"14387.63","26.87","534","141228"
"550","28.19","534","148818"
"550","28.16","534","153868"
"550","27.67","534","151301"
"550","27.82","534","149346"
"514","28","534","167061"
"664","28.12","534","170745"
"475","28.07","534","188902"
"168.46","27.9","534","193878"
"168.46","27.94","534","219780"
"168.46","28.08","534","231111"
"168.46","27.59","534","242211"
"168.46","28.04","534","250538"
"168.46","28.69","534","260110"
"168.46","28.25","534","250000"
"168.46","28.46","534","242574"
"168.46","28.01","534","245894"
"168.46","26.93","534","15514"
"168.46","24.67","534","16675"
"168.46","25.87","534","23599"
"168.46","25.31","534","23094"
"168.46","25.52","534","25998"
"168.46","25.56","1110","27363"
"168.46","26.94","1110","27912"
"8306.31","25.77","1110","37000"
"8306.31","25.8","1110","38800"
"8306.31","25.42","1110","32500"
"8306.31","25.72","1110","34750"
"8306.31","25.97","1110","29750"
"8306.31","25.98","1110","36111"
"8306.31","25.36","1110","35000"
"8306.31","25.6","1110","40000"
"8306.31","25.93","1110","36667"
"8306.31","25.58","1110","32121"
"8306.31","25.9","1110","27594"
"8306.31","26.07","1110","31296"
"8306.31","24.84","1110","23333"
"8306.31","25.38","1110","28538"
"9578.67","24.82","1110","40000"
"9163.51","25.15","1110","41786"
"8154.96","25.21","1110","5379"
"5587.32","24.48","1110","5672"
"5533.55","25.02","1110","6997"
"9560.49","25.21","447","7635"
"8529.07","25.21","447","7263"
"9204","25.38","447","9173"
"8822","25.58","447","9118"
"9186","25.46","447","16505"
"9776","25.93","447","11528"
"8244.02","25.43","447","11554"
"6712.05","25.83","447","9878"
"6516.47","25.95","447","9000"
"5496.04","25.84","447","11000"
"4644.53","25.52","447","11250"
"5740.44","25.5","447","11667"
"6139.3","25.07","447","10000"
"5905.6","25.4","447","11538"
"6490.46","25.63","447","12000"
"5848.25","25.35","447","12000"
"6014.67","25.63","447","12000"
"9074.21","25.86","447","12000"
"9074.21","25.78","447","12000"
"9074.21","25.53","447","12963"
"9074.21","25.65","447","12963"
